Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
.,-,pavithra,-,5,2020-06-27T11:59:17,I presented this watch for my frd she liked it very much .it was same as I saw in pic ...it suits for everyone..
Good,-,anshu s.,-,5,2020-07-23T17:59:17,Nice
Value for money,-,Ruchika S.,-,5,2020-08-13T14:59:17,I got it on discount for 1360. Pretty watch. Nice for gifting.
Kid’s watch,-,Almas Aanish,-,5,2020-08-24T11:59:17,The product is good.. but the dial is very small... entirely differing from the picture... it is looking like a kids watch..
Pink dial adds to the beauty of the watch,-,Amazon Customer,-,5,2020-01-18T17:53:17,Just amazing. Loved it to the core. Elegant and stylish watch and also the finishing is awesome. Perfect deal for the price.
Look,-,Vishal,-,5,2020-04-23T14:12:17,I like is pretty product everything is perfect on this watch on more special thing is based on there look soo nice
Classic...,-,Neeru Joshi,-,5,2020-07-12T17:12:17,Decent watch...lock is convenient.. budget friendly..
Good Quality,-,sateesh,-,5,2020-08-24T11:59:17,Watch came with 1 yr warranty and looks good.
beautiful,-,9736037775,-,5,2020-03-25T17:59:17,nyc product my friends also like it
Not a bad....,-,G Siva naga Siva,-,5,2020-08-13T14:59:17,Good
Loved it,-,Amazon Customer,-,5,2020-09-17T17:59:17,Awesome gift
Superb ❤😘,-,Neha Rani,-,5,2020-08-22T17:59:17,Fastrack is always an amazing brand for the watch.. Totally love this watch. ❤😘❤😘❤😘
Nice one,-,satyam chauhan,-,5,2020-02-22T16:59:17,Nice watch at this price segment
Price problem,5 people found this helpful,Bagish,-,5,2020-08-24T11:59:17,Price of this watch is decreases within 3 days so i think extra money Will be refunded
Worth the price,-,Prasad Patil,-,5,2020-01-11T11:59:17,Overall product is Nice. watch quality is nice but the package in which the watch was packed was not safe
Five Stars,-,Mãñìdêëp,-,5,2020-01-18T17:53:17,Excellent probuct.......💖💖💖Nice quality...fully satisfied..👌👌
Three Stars,-,Rosh,-,5,2020-04-23T14:12:17,Nice good for daily wear   basic nothing fancy
Nice,-,Gaurav,-,5,2020-09-29T17:59:17,Nice
Pretty,-,harsha malekar,-,5,2020-09-06T17:39:17,Pretty watch and looks really cool.. It was worth buying.....
Worth the money and brand,-,Hamli J.,-,5,2020-08-01T17:23:17,Beautiful and worth the money
Nice product Original Fastrack were arrived Thanks to Amazon,One person found this helpful,Prem Kiran,-,5,2020-05-22T11:59:17,Nice productOriginal Fastrack were arrivedThanks to Amazon.inBut unsatisfied with packing of the product ...
Yes,-,Muthukumar V,-,5,2020-01-11T11:59:17,Yes
too cost as per its quality,-,sona h.,-,5,2020-03-25T17:59:17,its too heavy. i feel as per its price the quality is too poor.
Gud,-,atchuth,-,5,2020-08-01T17:23:17,Gud
This watch is very nice,-,Sushma Hupare,-,5,2020-05-17T17:59:17,Go for this it is very nice
Like it,-,Mamta Kumari,-,5,2020-08-01T17:23:17,Like it
Nice product,-,Avinash,-,5,2020-08-06T12:59:17,Nice Product
nice,-,Bhaskar Jyoti Nath,-,5,2020-08-24T11:59:17,I like this watch i bougt this for my wife to gift her and also she loved it
good product,-,Lalit Chauhan,-,5,2020-07-02T17:54:17,very good product
Good,-,DIPAK,-,5,2020-07-16T12:59:17,Good...
Looking decent.,-,Rajagopal,-,5,2020-03-24T12:32:17,Nice but chain is too loose we should remove two links the remaining is good.
S,-,Shiva,-,5,2020-02-10T17:59:17,Nice
Must buy,-,sony manohar,-,5,2020-08-06T12:59:17,Just go for it original watch
Four Stars,One person found this helpful,rohit,-,5,2020-03-19T13:59:17,Good watch.
Teachers choice,-,Balkrishna,-,5,2020-03-24T12:32:17,Quality product
Nice,-,Amazon Customer,-,5,2020-09-18T17:59:17,Nice
Awesome product,-,Arnab,-,5,2020-04-15T17:59:17,It s a amazing product of fastrack... Nice build and A must buy watch.... It s also a good presentation for any occasion
Classy,-,Anish Sreekumar,-,5,2020-02-10T17:59:17,Good deal
Excellent,-,Kindle Customer,-,5,2020-04-23T14:12:17,It s excellent  same as in picture
Awesome,-,Dasari raju kumar,-,5,2020-08-22T17:59:17,Nice
